Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2019-10-23,65,86,53,49,31,81,67,30,40,40
2019-10-24,74,66,56,59,44,85,78,30,38,44
2019-10-25,65,79,50,64,34,77,70,38,54,46
2019-10-26,68,72,47,45,53,75,57,34,41,38
2019-10-27,66,89,51,42,57,79,62,33,44,41
2019-10-28,67,67,39,62,40,82,67,23,26,40
2019-10-29,72,72,53,57,46,74,62,38,33,40
2019-10-30,65,75,42,55,49,78,64,39,51,53
2019-10-31,60,70,53,53,29,80,59,27,39,34
2019-11-01,60,70,44,46,41,76,68,30,47,45
2019-11-02,75,76,60,78,70,44,50,38,77,70
2019-11-03,66,71,50,50,44,69,60,46,35,37
2019-11-04,65,86,50,61,48,76,63,36,44,51
2019-11-05,65,78,38,48,34,73,58,22,38,41
2019-11-06,67,68,63,54,44,70,62,39,30,38
2019-11-07,64,79,49,44,43,73,53,30,45,27
2019-11-08,56,84,42,46,38,70,47,35,32,38
2019-11-09,56,85,57,80,74,40,49,54,66,69
2019-11-10,56,75,55,58,40,83,65,30,35,41
2019-11-11,65,80,48,40,46,69,62,36,43,34
2019-11-12,51,79,62,48,47,76,45,14,57,47
2019-11-13,54,75,46,48,47,87,58,28,42,46
2019-11-14,68,75,44,54,50,73,58,35,41,50
2019-11-15,63,73,53,43,44,66,56,30,45,43
2019-11-16,51,72,55,40,33,64,52,41,51,47
2019-11-17,68,79,47,45,48,73,51,24,45,45
2019-11-18,63,80,71,61,39,81,60,21,51,55
2019-11-19,48,64,53,46,44,79,53,36,41,46
2019-11-20,56,68,48,49,32,88,66,32,45,43
2019-11-21,56,71,45,55,49,68,63,30,57,47
2019-11-22,65,75,51,44,46,73,63,37,57,51
2019-11-23,66,76,49,49,46,67,63,N/A,52,46
2019-11-24,70,73,56,42,38,67,53,32,44,48
2019-11-25,66,82,63,43,41,85,59,34,45,43
2019-11-26,61,81,55,45,46,76,61,20,37,34
2019-11-27,62,68,46,58,32,81,62,20,43,53
2019-11-28,52,77,48,49,45,77,59,32,39,53
2019-11-29,54,83,50,53,44,55,68,33,28,61
2019-11-30,55,73,38,56,57,83,61,35,48,55
2019-12-01,51,85,50,56,49,72,62,24,36,32
2019-12-02,51,76,42,53,47,75,64,16,44,44
2019-12-03,73,79,51,51,43,60,62,51,40,54
2019-12-04,61,65,77,75,73,28,42,42,56,63
2019-12-05,71,81,56,50,52,80,52,30,49,45
2019-12-06,68,65,55,64,48,74,60,22,47,36
2019-12-07,69,81,43,49,44,75,47,28,41,42
2019-12-08,56,66,71,80,74,49,40,30,64,62
2019-12-09,60,75,50,43,54,65,57,27,54,34
2019-12-10,67,79,62,63,38,73,57,18,45,41
2019-12-11,72,81,43,50,32,81,49,38,40,44
2019-12-12,60,61,69,78,79,58,28,48,50,70
2019-12-13,46,73,62,66,80,58,37,37,62,74
2019-12-14,75,77,43,53,43,69,67,34,40,43
2019-12-15,64,75,51,44,53,71,61,20,49,50
2019-12-16,53,90,57,54,44,69,63,40,44,42
2019-12-17,56,74,69,87,75,52,46,38,60,78
2019-12-18,71,78,62,57,40,79,63,25,43,41
2019-12-19,56,71,65,76,46,46,45,37,77,77
2019-12-20,67,83,54,53,37,88,68,35,41,43
2019-12-21,62,76,47,60,39,64,61,22,45,41
2019-12-22,57,62,73,70,87,52,37,49,61,69
2019-12-23,59,77,52,41,43,62,70,36,45,43
2019-12-24,64,65,42,52,43,67,56,36,48,50
2019-12-25,62,80,46,60,41,78,61,31,41,41
2019-12-26,69,69,67,81,69,47,48,32,58,57
2019-12-27,51,73,63,69,67,59,35,31,45,62
2019-12-28,72,79,50,58,51,83,59,25,52,52
2019-12-29,62,73,44,57,52,83,63,53,40,35
2019-12-30,59,85,48,61,52,76,58,53,49,36
2019-12-31,69,88,51,50,46,84,53,28,39,50
